question,entity
안산 마라롱샤 먹거리 어디니,S-LOCATION S-RESTAURANT O O
무주 마라샹궈 먹어 배고파 해줘,S-LOCATION S-RESTAURANT O O O
평창 마라탕 잘 하는 곳 어디 있어,S-LOCATION S-RESTAURANT O O O O O
한식 먹거리 어디니,S-RESTAURANT O O
백반집 인스타 먹거리 어디니,S-RESTAURANT O O O
남서울 양식 먹고 싶은데 먹거리 있니,S-LOCATION S-RESTAURANT O O O O
남양주 근처 매운탕 먹거리 어디니,S-LOCATION O S-RESTAURANT O O
세종 만두 먹거리 어디니,S-LOCATION S-RESTAURANT O O
새우 튀김 인스타 먹거리 어디니,B-RESTAURANT E-RESTAURANT O O O
양천 왔는데 배고파,S-LOCATION O O
가평 먹거리 어디니,S-LOCATION O O
거창 잘하는 먹거리 곱창집,S-LOCATION O O S-RESTAURANT
과일 탕수육 먹어 배고프네 좀 추천,B-RESTAURANT E-RESTAURANT O O O O
창녕 찌개 식당 어딜까,S-LOCATION S-RESTAURANT O O
태안 고깃집 식당 어디 추천,S-LOCATION S-RESTAURANT O O O
고흥 꿔바로우 식당 어디,S-LOCATION S-RESTAURANT O O
화순 순두부 먹어 배고파,S-LOCATION S-RESTAURANT O O
두부 찌개 식당,B-RESTAURANT E-RESTAURANT O
어묵탕 진짜 잘하는 식당,S-RESTAURANT O O O
오뎅탕 잘하는 음식점 어디니,S-RESTAURANT O O O
거창 식당 어디니,S-RESTAURANT O O
가평 돌솥 비빔밥 추천,S-LOCATION B-RESTAURANT E-RESTAURANT O
고창 직화구이 식당 어디니,S-LOCATION S-RESTAURANT O O
고등어 식당 어디니,S-RESTAURANT O O
참치 타다끼 식당 어디니,B-RESTAURANT E-RESTAURANT O O
육회 비빔밥 먹어 말까,B-RESTAURANT E-RESTAURANT O O
순두부 찌개 식당 알려줄래,B-RESTAURANT E-RESTAURANT O O
탕 먹고싶다 배고파,S-RESTAURANT O O
고구마 맛탕 식당 어디지,B-RESTAURANT E-RESTAURANT O O
고등어 조림 먹어 배고프네 좀,B-RESTAURANT E-RESTAURANT O O O
숭어 먹어 배고파해줘,S-RESTAURANT O O
활어 회 맛있는 식당 어디,B-RESTAURANT E-RESTAURANT O O O
피순대 식당,S-RESTAURANT O
머랭쿠키 잘하는 무한리필 있니,S-RESTAURANT O O O
초콜릿 무한리필 알려줘,S-RESTAURANT O O
초콜릿 무한리필 가볼까,S-RESTAURANT O O
무한리필점 유명한 곳 어디 있니,O O O O O
수제비 무한리필 어디 있어,S-RESTAURANT O O O
김치찌개 무한리필 알려줄래,S-RESTAURANT O O
유명한 찌개 무한리필 추천해줘,O S-RESTAURANT O O
햄버거 무한리필 알려줘,S-RESTAURANT O O
달콤한 햄버거 무한리필 어디니,O S-RESTAURANT O O
수제버거 어디 맛있니,S-RESTAURANT O O
치킨집 추천해줘,S-RESTAURANT O
치킨 맛있는 곳 추천 해줄래,S-RESTAURANT O O O O
달콤한 통닭집 추천해줘,O S-RESTAURANT O
주변 양념 치킨 진짜 잘하는 곳 추천,O B-RESTAURANT E-RESTAURANT O O O O
마라롱샤 무한리필 어디니,S-RESTAURANT O O
마라샹궈 무한리필 추천 해줘,S-RESTAURANT O O O
간 식당 어디니,S-RESTAURANT O O
고추장 불고기 식당 어디니,B-RESTAURANT E-RESTAURANT O O
백숙집 어디니,S-RESTAURANT O
옻 백숙 잘하는 본점 추천,B-RESTAURANT E-RESTAURANT O O O
닭고기 본점 어디 없나,S-RESTAURANT O O O
괴산 본점 추천 해주겠니,S-LOCATION O O O
강남 어떤 거 먹을지 몰라,S-LOCATION O O O O
함양 파전 맛있는 본점,S-LOCATION S-RESTAURANT O O
감자전 본점 알려줄래,S-RESTAURANT O O
김치전 진짜 본점 인스타 먹거리 어디니,S-RESTAURANT O O O O O
소주 먹고싶은데 본점 있니,S-RESTAURANT O O O
소주 어울리는 본점 추천,S-RESTAURANT O O O
과자 간식 본점 어디니,B-RESTAURANT E-RESTAURANT O O
증평 인기 많은 술집 갈까,S-LOCATION O O S-RESTAURANT O
영월 사람 많은 본점 추천,S-LOCATION O O O O
장흥 사람 많은 술집 갈까,S-LOCATION O O O O
영덕 대게 본점 갈까,S-LOCATION S-RESTAURANT O O
정선 뭐 먹을까,S-LOCATION O O
천안 호두과자 본점 어디니,S-LOCATION S-RESTAURANT O O
창원 맛 좋고 괜찮은 본점,S-LOCATION O O O O
본점,O
음식점,O
식당 추천해줘,O O
맛집 추천,O O
괜찮은 음식점 추천,O O O
가평 본점 어디니,S-LOCATION O O
오믈렛 본점 어디니,S-RESTAURANT O O
맛집 알려줘,O O
주변 맛집 알려줘,O O O
맛 좋은 맛집 알려줄래,O O O O
고깃집 추천해줘,S-RESTAURANT O
사탕 맛있는 곳 알려줘,S-RESTAURANT O O O
유명한 고깃집 무한리필 추천해줘,O S-RESTAURANT O O
무한리필집 추천 해줄래,O O O
부대찌개 잘하는 맛집 알려줘,S-RESTAURANT O O O
주변 샐러드 맛집 가볼까,O S-RESTAURANT O O
짭짤한 찜닭집 알려줘,O S-RESTAURANT O
찜닭 맛집 추천해줘,S-RESTAURANT O O
김치찌개 알려줘,S-RESTAURANT O
튀김 잘하는 맛집 어디니,S-RESTAURANT O O O
주변 아구찜 맛집 알려줘,O S-RESTAURANT O O
간장게장 잘하는 곳 가볼까,S-RESTAURANT O O O
샐러드 먹고 싶은데 맛집 가볼까,S-RESTAURANT O O O O
카레 먹고싶어,S-RESTAURANT O
자장면 먹고싶은데,S-RESTAURANT O
초밥 식당 추천해줘,S-RESTAURANT O O
서양 분식 본점 알려줄래,B-RESTAURANT E-RESTAURANT O O
불고기 음식점 괜찮은 곳 어디니,S-RESTAURANT O O O O
볶음밥 맛있는 곳 어디있어,S-RESTAURANT O O O
양파 볶음 맛 좋은 곳 어디,B-RESTAURANT E-RESTAURANT O O O O
기사식당 괜찮은 곳,S-RESTAURANT O O
기사 식당 진짜 맛있는 곳 있니,B-RESTAURANT E-RESTAURANT O O O O
진도 활어 회 원조,S-LOCATION B-RESTAURANT E-RESTAURANT O
군산 달걀 볶음밥 원조,S-LOCATION B-RESTAURANT E-RESTAURANT O
곡성 오믈렛 원조,S-LOCATION S-RESTAURANT O
단양 비빔밥 원조 어디지,S-LOCATION S-RESTAURANT O O
순창 고추장 불고기 괜찮은 원조 어디,S-LOCATION B-RESTAURANT E-RESTAURANT O O O
혹시 의령 괜찮은 원조,O S-LOCATION O O
양양 괜찮은 원조 추천,S-LOCATION O O O
내일 화천 여행 가는데 원조 갈까,S-DATE S-LOCATION O O O O
청송 진짜 괜찮은 국수 원조 어딘데,S-LOCATION O O S-RESTAURANT O O
내일 구례 가는데 맛 좋은 원조 음식점 갈까,S-DATE S-LOCATION O O O O O O
무주 식당 궁금한데 알려주겠니,S-LOCATION O O O
진안 혹시 괜찮은 음식점 있을까,S-LOCATION O O O O
양구 음식점 원조 어딜까요,S-LOCATION O O O
군위 원조 어딜까,S-LOCATION O O
의왕 제일 괜찮은 원조 있니,S-LOCATION O O O O
광양 인기 많은 음식점,S-LOCATION O O O
식당 맛 좋은 원조 어디,O O O O O
제천 원조 알려줄래,S-LOCATION O O
논산 핫한 닭 갈비 어디지,S-LOCATION O B-RESTAURANT E-RESTAURANT O
의정부 원조 추천 좀,S-LOCATION O O O
제일 맛 좋은 원조 음식점 어디,O O O O O O
칠곡 원조 어디지,S-LOCATION O O
여주 음식점 알려줄래,S-LOCATION O O
정읍 음식점 어디니,S-LOCATION O O
음성군 음식점 어디있어,S-LOCATION O O
양평 해장국 음식점 알려줄수 있어,S-LOCATION S-RESTAURANT O O O
내장탕 음식점 추천해줘,S-RESTAURANT O O
야채 죽 맛있는 곳 어디,B-RESTAURANT E-RESTAURANT O O O
죽 먹을까,S-RESTAURANT O
공주 치킨 음식점 알려줄래,S-LOCATION S-RESTAURANT O O
완주 입 맛 까다로운 음식점 추천,S-LOCATION O O O O O
상주 음식점 줘,S-LOCATION O O
강진 진짜 맛 좋은 음식점 추천할까,S-LOCATION O O O O O
보은 고추장 혹시 음식점 없으려나,S-LOCATION S-RESTAURANT O O O
오늘 인제 도토리 묵 먹거리 추천해줘,S-DATE S-LOCATION B-RESTAURANT E-RESTAURANT O O
진도 낙지 볶음 먹거리 좋으려나,S-LOCATION B-RESTAURANT E-RESTAURANT O O
군산 먹거리 먹거리 나쁠까 정말,S-LOCATION O O O O
곡성 도토리 묵 먹거리 없을까,S-LOCATION B-RESTAURANT E-RESTAURANT O O
단양 김밥 먹거리 맛있겠지 아마,S-LOCATION S-RESTAURANT O O O
전북 순창 김밥 볶음 먹거리 가면 좋겠다,B-LOCATION E-LOCATION B-RESTAURANT E-RESTAURANT O O O
혹시 의령 참치찌개 먹거리 안 맛있겠지,O S-LOCATION S-RESTAURANT O O O
양양 참치전 맛집 없을까,S-LOCATION S-RESTAURANT O O
화천 김치전 맛집 필요해,S-LOCATION S-RESTAURANT O O
오늘 청송 물회 맛집 가볼까,S-DATE S-LOCATION S-RESTAURANT O O
구례 파전 볶음 맛집 챙길까 말까,S-LOCATION B-RESTAURANT E-RESTAURANT O O O
무주 맛집 궁금한데 알려주겠니,S-LOCATION O O O
진안 혹시 볶음 맛집 어디지,S-LOCATION O S-RESTAURANT O O
막걸리 핫한 양구 맛집 어딜까요,S-RESTAURANT O S-LOCATION O O
막걸리 핫한 군위 맛집 어딜까,S-RESTAURANT O S-LOCATION O O
장수 가는데 뭐 먹어볼까,S-LOCATION O O O
영양 오징어 숙회 맛집 알려주겠니,S-LOCATION B-RESTAURANT E-RESTAURANT O O
울릉 베이컨 맛집 정보 알려주세요,S-LOCATION S-RESTAURANT O O O
혹시 그 때 종로구 맛집 어떨까,O O O S-LOCATION O O
그 때 관악구 맛집 좋겠지,O O S-LOCATION O O
서초구 베이컨 맛집 어떨 것 같은데,S-LOCATION S-RESTAURANT O O O O
강동구 맛집 어떨까요,S-LOCATION O O
도봉구 목살 맛집 어때요,S-LOCATION S-RESTAURANT O O
중랑구 산 낙지 맛있는 곳 추천,S-LOCATION B-RESTAURANT E-RESTAURANT O O O
광진구 오징어 튀김 맛집,S-LOCATION B-RESTAURANT E-RESTAURANT O
전주 비빔밥 맛집 없을까,S-LOCATION S-RESTAURANT O O
전주 상추튀김 맛집 없을까,S-LOCATION S-RESTAURANT O O
서울 마포구 맛집 어딜까요,B-LOCATION E-LOCATION O O
서울 영등포구 맛집 어딜까요,B-LOCATION E-LOCATION O O
홍대 담백한 맛집 추천해줘,S-LOCATION O O O
서울 성동구 맛집 추천해줘,B-LOCATION E-LOCATION O O
서울 송파구 맛집 필요해,B-LOCATION E-LOCATION O O
서울 서초구 맛집 어딜까,B-LOCATION E-LOCATION O O
막창 어디지 배고파,S-RESTAURANT O O
망원동 가는데 배고파,S-LOCATION O O
갈비탕 맛집 어디지,S-RESTAURANT O O
설렁탕 어디인지 배고프네,S-RESTAURANT O O
부산 회 맛집 궁금해,S-LOCATION S-RESTAURANT O O
함흥 냉면 맛집 궁금해,S-LOCATION S-RESTAURANT O O
파전 맛집 알려줄래,S-RESTAURANT O O
부추전 맛집 필요해,S-RESTAURANT O O
감자탕 맛집 궁금해,S-RESTAURANT O O
이태원 맛집 궁금해,S-LOCATION O O
순대국밥 핫한 맛집 어때,S-RESTAURANT O O O
스파게티 핫한 먹어 어디인지,S-RESTAURANT O O O
핫한 치킨 먹어 어디인지,O S-RESTAURANT O O
마라도 자장면 레스토랑 궁금해,S-LOCATION S-RESTAURANT O O
유성구 핫한 빵 레스토랑 알려주세요,S-LOCATION O S-RESTAURANT O O
육회 비빔밥 레스토랑 어디인지,S-RESTAURANT S-RESTAURANT O O
비빔국수 핫한 레스토랑 어디인지,S-RESTAURANT O O O
수제피자 레스토랑 궁금해,S-RESTAURANT O O
수제햄버거 레스토랑 굼금해,S-RESTAURANT O O
탕수육 핫한 레스토랑 궁금해요,S-RESTAURANT O O O
내일 계룡 가는데 배고파,S-DATE S-LOCATION O O
내일 청주 가는데 레스토랑 궁긍해,S-DATE S-LOCATION O O O
상당구 있는 레스토랑 어디인지,S-LOCATION O O O
서대문구 가는데 담백한 레스토랑 어디인지,S-LOCATION O O O O
칼국수 레스토랑 궁금해,S-RESTAURANT O O
커피 레스토랑 어디인지,S-RESTAURANT O O
마포구 담백한 레스토랑 어디인지,S-LOCATION O O O
동작구 담백한 레스토랑 궁금해,S-LOCATION O O O
팥죽 인스타 요리 어디인지,S-RESTAURANT O O O
담백한 스파게티 인스타 요리 어디였지,O S-RESTAURANT O O O
담백한 돼지국밥 인스타 요리 궁금해,O S-RESTAURANT O O O
전복구이 인스타 요리 어디였지,S-RESTAURANT O O O
을왕리 가는데 뭐 먹을까,S-LOCATION O O O
담백한 오리고기 인스타 요리 어디였지,O S-RESTAURANT O O O
동대문구 요리 어디였지,S-LOCATION O O
신촌 요리 필요해,S-LOCATION O O
팥빙수 요리 어디였지,S-RESTAURANT O O
떡볶이 요리 궁금해,S-RESTAURANT O O
도봉구 주변 요리 어디였지,S-LOCATION O O O
성수동 주변 요리 궁금해,S-LOCATION O O O
노원구 주변 요리 알려주세요,S-LOCATION O O O
금천구 주변 요리 어디였지,S-LOCATION O O O
삼계탕 요리 어디였지,S-RESTAURANT O O
구로구 주변 요리 어디였지,S-LOCATION O O O
광진구 주변 요리 어디였지,S-LOCATION O O O
관악구 주변 요리 어디였지,S-LOCATION O O O
타코 요리 알려줘,S-RESTAURANT O O
와플 뭐 먹을지 모르겠어,S-RESTAURANT O O O
카레 요리 알려줘,S-RESTAURANT O O
돌솥밥 잘하는 곳 말려줘,S-RESTAURANT O O O
추어탕 잘하는 곳 알려주세요,S-RESTAURANT O O O
역삼동 가는데 요리 알려줘,S-LOCATION O O O
대치동 잘하는 곳 궁금해,S-LOCATION O O O
청담동 잘하는 곳 알려줘,S-LOCATION O O O
도곡동 가는데 화제 곳 알려줘,S-LOCATION O O O O
신사동 잘하는 곳 궁금해요,S-LOCATION O O O
압구정동 요리 알려주세요,S-LOCATION O O
서교동 요리 궁금해,S-LOCATION O O
아현동 잘하는 곳 알려줘,S-LOCATION O O O
강서구 뭐 먹어야해,S-LOCATION O O
신수동 주변 요리 알려줘,S-LOCATION O O O
닭갈비 화제 요리 알려줘,S-RESTAURANT O O O
망원동 백숙 요리 알려줘,S-LOCATION S-RESTAURANT O O
합정동 찜닭 요리 알려줘,S-LOCATION S-RESTAURANT O O
영등포구 주변 요리 알려줘,S-LOCATION O O O
강북구 주변 요리 알려줘,S-LOCATION O O O
수제 파스타 요리 궁금해,B-RESTAURANT E-RESTAURANT O O
숯불갈비 요리 알려줘,S-RESTAURANT O O
바베큐 요리 알려줘,S-RESTAURANT O O
화덕구이 요리 궁금해요,S-RESTAURANT O O
부대찌개 요리 궁금해요,S-RESTAURANT O O
김치돼지찜 요리 궁금해,S-RESTAURANT O O
고로케 요리 궁금해,S-RESTAURANT O O
수제비 요리 알려줘,S-RESTAURANT O O
비빔국수 요리 알려줘,S-RESTAURANT O O
육개장 요리 갈까,S-RESTAURANT O O
강동 주변 요리 갈까,S-LOCATION O O O
이대 주변 요리 있을까,S-LOCATION O O O
노량진 주변 요리 알려줘,S-LOCATION O O O
강남 주변 요리 알려줘,S-LOCATION O O O
목포 주변 요리 갈까,S-LOCATION O O O
춘천 주변 요리 알려줘,S-LOCATION O O O
시흥 주변 요리 알려줘,S-LOCATION O O O
안산 맛집 알려줘,S-LOCATION O O
속초 뭐 먹을까,S-LOCATION O O
청주 맛집 갈까,S-LOCATION O O
부산 뭐 먹을까,S-LOCATION O O
강릉 주변 맛집 가볼까,S-LOCATION O O O
전주 맛집 궁금해,S-LOCATION O O
수원 주변 맛집 궁금해,S-LOCATION O O O
용인 주변 맛집 알려줘,S-LOCATION O O O
제주 서귀포 주변 뭐 먹을까,B-LOCATION E-LOCATION O O O
강원도 평택 주변 맛집 궁금해,B-LOCATION E-LOCATION O O O
해장국 화제 맛집 알려줘,S-RESTAURANT O O O
유부전골 잘하는 곳 알려줘,S-RESTAURANT O O O
족발 잘하는 곳 알려줘,S-RESTAURANT O O O
파주 담백한 족발 맛집 알려줘,S-LOCATION O O O O
대구탕 화제 맛집 알려줘,S-RESTAURANT O O O
복어탕 화제 맛집 어딘데,S-RESTAURANT O O O
쭈꾸미 화제 맛집 어딘데,S-RESTAURANT O O O
홍어 화제 맛집 알려줘,S-RESTAURANT O O O
갈비찜 잘하는 곳 추천해줘,S-RESTAURANT O O O
잡채 잘하는 곳 추천해줘,S-RESTAURANT O O O
북어 군침 맛집 추천해줘,S-RESTAURANT O O O
만두 군침 맛집 추천해줘,S-RESTAURANT O O O
굴 군침 맛집 추천해줘,S-RESTAURANT O O O
녹차 먹고싶은데 어디서 먹어,S-RESTAURANT O O O
광명 왔는데 여기 맛집 있을까,S-LOCATION O O O O
인천 왔는데 담백한 맛집 알려줘,S-LOCATION O O O O
대전 담백한 주변 맛집 알려줘,S-LOCATION O O O O
울산 왔는데 주변 맛집 어딘데,S-LOCATION O O O O
광주 왔거든 담백한 맛집 알려줘,S-LOCATION O O O O
대구 왔는데 맛집 알려줘,S-LOCATION O O O
부산 왔다 맛집 있을까,S-LOCATION O O O
인천 짭짤한 맛집 알려줘,S-LOCATION O O O
닭강정 잘하는 집 알려줘,S-RESTAURANT O O O
순대 잘하는 집 어딘데,S-RESTAURANT O O O
콩나물국밥 잘하는 집 알려줘,S-RESTAURANT O O O
닭볶음탕 잘하는 집 알려줘,S-RESTAURANT O O O
초밥 유명한 맛집 어딘데,S-RESTAURANT O O O
시래깃국 유명한 곳 추천해줘,S-RESTAURANT O O O
아귀찜 유명한 곳 말해줘,S-RESTAURANT O O O
서울 왔는데 여기서 맛집 소개해줘,S-LOCATION O O O O
여기서 뭐 먹을까,O O O
먼지 알려주겠니,O O
먼지 정보 알려주세요,O O O
전주 미세먼지 어떤지 말해줘,S-LOCATION O O O
미세먼지 궁금해서 물어봤어,O O O
화요일 마스크 필요할까,S-DATE O O
월요일 공기 깨끗하니,S-DATE O O
서울 다음 주 먼지 알려줄래요,S-LOCATION B-DATE E-DATE O O
부안 먼지 어떻게 돼,S-LOCATION O O O
토요일 서천 공기 상태 좀 알려줄수 있니,S-DATE S-LOCATION O O O O O
월요일 공기상태 알려줄수 있어,S-DATE O O O
이번 주 가로수길 공기 알려줄래,B-DATE E-DATE S-LOCATION O O
구암 다음 주 공기 알려줘,S-LOCATION B-DATE E-DATE O O
이번 주 영등포 공기 말해줘,B-DATE E-DATE S-LOCATION O O
구로 다음 주 공기 알려줄래,S-LOCATION B-DATE E-DATE O O
마스크 챙겨야하나 모르겠네,O O O
월요일 여행갈건데 먼지 알려줘,S-DATE O O O
먼지 궁금하네,O O
토요일 먼지 심하니,S-DATE O O
월요일 미세먼지 어떨까,S-DATE O O
현재 지금 먼지 많니,B-DATE E-DATE O O
먼지 알려주세요 궁금해요,O O O
먼지 궁금해서,O O
먼지 안 심해야 하는데,O O O O
공기상태 알려줘,O O
일산 공기 상태 어떻게 돼요,S-LOCATION O O O O
토요일 안암 공기 상태 좀 알려줄수 있니,S-DATE S-LOCATION O O O O O
월요일 공기 알려줄 수 있어,S-DATE O O O O
이번 주 홍대 공기 알려줄래,B-DATE E-DATE S-LOCATION O O
남구 다음 주 공기 알려줘,S-LOCATION B-DATE E-DATE O O
이번 주 보령 공기 줘,B-DATE E-DATE S-LOCATION O O
공기 맑을까,O O
공기 공기 심하니,O O O
밀양 공기 심하면 안되는데,S-LOCATION O O O
공기 맑을까 그 때,O O O O
혹시 공기 심하니,O O O
그 때 혹시 공기 상태 나쁠까,O O O O O O
나 화요일 여행가는데 공기 알려줘,O S-DATE O O O
미세먼지 없나,O O
지금 먼지 많네,S-DATE O O
현재 미세먼지 많이 없니,S-DATE O O O
먼지 많이 없니,O O O
공기 많이 깨끗하지,O O O
먼지 많이 심할까,O O O
알려줘 공기,O O
월요일 마스크 챙길까,S-DATE O O
마스크 써야하나,O O
이번 주 공기 많이 없니,B-DATE E-DATE O O O
월요일 공기 심하겠지,S-DATE O O
헉 혹시 공기 심할까,O O O O
먼지 심하니,O O
월요일 공기 상태 나쁠까,S-DATE O O O
먼지 심하겠지 아마,O O O
먼지 심해지려나,O O
토요일 공기 심하니,S-DATE O O
미세먼지 알려줘,O O
화요일 공기 상태 나쁠까,S-DATE O O O
공기 상태 나쁠까,O O O
혹시 화요일 공기 심하니 마스크 챙길까,O S-DATE O O O O
마스크 필요하니,O O
하늘 심하니,O O
미세먼지 없으려,O O
먼지 꼈니,O O
강남 미세먼지 심할까,S-LOCATION O O
공기 상태 심해질까,O O O
그 때 하늘 어떠려나,O O O O
하늘 미세먼지 많이 심하니 그 날,O O O O O O
먼지 어떨 것 같아,O O O O
이번 주 공기 깨끗하니,B-DATE E-DATE O O
많이 공기 심하면 안될텐데,O O O O
다음 주 공기 알려줘,B-DATE E-DATE O O
화요일 공기 심할까,S-DATE O O
화요일 혹시 서대문구 공기 없으려나,S-DATE O S-LOCATION O O
토요일 미세먼지 심하니,S-DATE O O
군산 공기 상태 좋으려나,S-LOCATION O O O
공기 상태 나쁠까 정말,O O O O
먼지 없을까,O O
화요일 미세먼지 심하겠지 아마,S-DATE O O O
화요일 미세먼지 오면 안되는데,S-DATE O O O
혹시 미세먼지 안심하겠지,O O O
의정부 미세먼지 없을까,S-LOCATION O O
수요일 마스크 필요해,S-DATE O O
마스크 쓸까,O O
수요일 마스크 챙길까 말까,S-DATE O O O
먼지 궁금한데 알려주겠니,O O O
혹시 공기 알려줘,O O O
수요일모레 동두천 공기 궁금해요,S-DATE S-LOCATION O O
수요일모레 공기 궁금해,S-DATE O O
먼지 많이 심한가,O O O
서울 공기 알려주겠니,S-LOCATION O O
부산 공기 정보 알려주세요,S-LOCATION O O O
혹시 그 때 대구 공기 어떨까,O O O S-LOCATION O O
그 때 대전 공기 좋겠지,O O S-LOCATION O O
먼지 어떨 것 같은데,O O O O
울산 공기 어떨까요,S-LOCATION O O
송파구 황사 어때요,S-LOCATION O O
덕진구 현재 공기 말해주겠니,S-LOCATION S-DATE O O
청주 황사 어떠니,S-LOCATION O O
토요일 전주 황사 알려줘,S-DATE S-LOCATION O O
먼지 어떠려나,O O
그럼 구리 황사 어떨까,O S-LOCATION O O
전주 황사 어떤지 좀 말해줘,S-LOCATION O O O O
창원 황사 궁금해서 물어봤어요,S-LOCATION O O O
경기도 황사 알려주세요,S-LOCATION O O
공기 어떠려나,O O
현재 공기 어떠려나,S-DATE O O
현재공기 어떠려나,O O
토요일 황사 알려주겠니,S-DATE O O
먼지 궁금해,O O
현재 황사 어떤데,S-DATE O O
저기 북구 황사 어때,O S-LOCATION O O
현재 인천 황사 완전 문젠데,S-DATE S-LOCATION O O O
완주 모레 동대구 황사 궁금해,S-LOCATION S-DATE S-LOCATION O O
먼지 궁금해요,O O
완산구 현재 공기 상태 좋니,S-LOCATION S-DATE O O O
지금 황사 어때,S-DATE O O
송파구 공기 상태 좀 알려줄래,S-LOCATION O O O O
궁금해 부천 먼지,O S-LOCATION O
어때 좀 안산 먼지,O O S-LOCATION O
수요일 근데 원주 황사 어떠려나,S-DATE O S-LOCATION O O
울산 지금 미세먼지 없니,S-LOCATION S-DATE O O
하늘 미세먼지 없니 지금,O O O S-DATE
광주 공기상태 알려줘,S-LOCATION O O
어떤데 먼지,O O
먼지 알려줬으면 졸겠어,O O O
평창 황사 알려줘,S-LOCATION O O
토요일 미세먼지 없나,S-DATE O O
모레 여행갈건데 먼지 알려줘,S-DATE O O O
먼지 궁금하네,O O
토요일 먼지 심하니,S-DATE O O
수요일 오존 어떨까,S-DATE O O
알려주세요 춘천 먼지,O S-LOCATION O
광주 북구 먼지 어떠려나,B-LOCATION E-LOCATION O O
먼지 알려주세요 궁금해요,O O O
그 날 먼지 많이 심하겠지,O O O O O
맑으려나 수요일,O S-DATE
먼지 궁금해서,O O
먼지 안 심해야 하는데,O O O O
무주 공기상태 알려줘,S-LOCATION O O
수요일 공기 깨끗하니,S-DATE O O
완전 덥겠다,O O
하늘 공기 맑을까,O O O
하늘 먼지 심하니,O O O
지금 남원 오존 많이 없니,S-DATE S-LOCATION O O O
지금 경부 지방 많이 오존 심할까,S-DATE B-LOCATION E-LOCATION O O O
먼지 많이 심할까,O O O
알려줘 은평구 먼지,O S-LOCATION O
노원구 먼지 궁금하네,S-LOCATION O O
수요일 마스크 챙길까,S-DATE O O
진짜 영덕 그 때 심할까,O S-LOCATION O O O
임실 수요일 혹시 마스크 써야하나,S-LOCATION S-DATE O O O
이번 주 먼지 많이 없니,B-DATE E-DATE O O O
수요일 먼지 심하겠지,S-DATE O O
홍대 혹시 오존 심할까,S-LOCATION O O O
서울 먼지 심하니,S-LOCATION O O
먼지 껴서 흐린가,O O O
먼지 심하진 않겠지,O O O
너무 먼지 심하지 않으려나,O O O O
마스크 아마 챙겨야겠지,O O O
해운대 목요일 먼지 없을까,S-LOCATION S-DATE O O
오수 먼지 심하겠지 아마,S-LOCATION O O O
그 떄 오존 심할까,O O O O
먼지 심해지려나,O O
오존 알려줘,O O
서귀포 목요일 공기 상태 나쁠까,S-LOCATION S-DATE O O O
먼지 심하면 안되는데,O O O
제주 많이 공기 상태 나쁠까,S-LOCATION O O O O
먼지 너무 많이 없나,O O O O
혹시 목요일 먼지 심하니 마스크 챙길까,O S-DATE O O O O
여수 지금 마스크 필요하니,S-LOCATION S-DATE O O
순천 목요일 마스크 필요할까,S-LOCATION S-DATE O O
마스크 챙겨야하나 모르겠네,O O O
먼지 심하면 안되는데,O O O
건대 입구 공기 맑을까 그 때,S-LOCATION O O O O O
혹시 먼지 심하니,O O O
그 때 혹시 공기 상태 나쁠까,O O O O O O
나 목요일 여행가는데 먼지 알려줘,O S-DATE O O O
그 때 혹시 심하니,O O O O
하늘 심하니,O O
지금 먼지 없나,S-DATE O O
오존 없으려나,O O
이번 주 심할까,B-DATE E-DATE O
공기 상태 심해질까,O O O
그 때 하늘 어떠려나,O O O O
하늘 오존 많이 심하니 그 날,O O O O O O
먼지 어떨 것 같아,O O O O
이번 주 공기 깨끗하니,B-DATE E-DATE O O
많이 먼지 심하면 안될텐데,O O O O
다음 주 공기 알려줘,B-DATE E-DATE O O
목요일 먼지 심할까,S-DATE O O
먼지 많이 심하니,O O O
영월 먼지 많이 심한가,S-LOCATION O O O
금요일 혹시 먼지 없으려나,S-DATE O O O
일요일 오존 심하니,S-DATE O O
공기 상태 좋으려나,O O O
1월 1일 먼지 심한가요,B-DATE E-DATE O O
2월 12일 오존 심하려나,B-DATE E-DATE O O
3월 3일 오존 심한가,B-DATE E-DATE O O
4월 14일 먼지 심한가요,B-DATE E-DATE O O
5월 5일 추워서 오존 심한가,B-DATE E-DATE O O O
8일 호성동 먼지 알려줘,S-DATE S-LOCATION O O
6월 22일 먼지 심한가요,B-DATE E-DATE O O
12월 11일 더워서 어떠려나,B-DATE E-DATE O O
3월 2O일 먼지 와,B-DATE E-DATE O O
7월 4일 오존 와,B-DATE E-DATE O O
3월 17일 전주 하늘 먼지 심하니,B-DATE E-DATE S-LOCATION O O O
4월 12일 먼지 흐려서 안 되겠다,B-DATE E-DATE O O O O
이번 주 토요일 먼지 심하니,B-DATE I-DATE E-DATE O O
2월 1O일 먼지 심하니,B-DATE E-DATE O O
경주 이번 주 드디어 맑아,S-LOCATION B-DATE E-DATE O O
4월 11일 오존 심한가요,B-DATE E-DATE O O
2월 2O일 먼지 와,B-DATE E-DATE O O
8월 4일 오존 와,B-DATE E-DATE O O
1O월 16일 먼지 심하니,B-DATE E-DATE O O
이번 주 수요일 먼지 심하니,B-DATE I-DATE E-DATE O O
11월 6일 청원 먼지 심하니,B-DATE E-DATE S-LOCATION O O
이천 이번 주 심하려나 하늘,S-LOCATION B-DATE E-DATE O O
